J0001,graphics,zBrush,16140809,14741900,16089002,11790199;11790199,9782097,,14803520,11884168,9338742
J0002,game,5,15594446,16168556,16103102,11380467,12487301,,13276568,11884168,16777664
J0003,game,4,16101353,14967383,17062373,11541857;11541857,16342190,,14905265,11884207,10332198
J0004,video,adobe premier pro,16140809,15369467,16100000,11790199;11790199,12487214,,13161338,13658789,16525058
J0005,work,default,12487424,-,13423823,10294017;10294017,14677133,,13161353,3571802,-
J0006,work,default,11876443,-,12069566,10294017;10294017,8558378,,13161353,10423167,-
J0007,game,3,16101179,12753542,16427723,10294017;10294017,11247363,,13161353,13381619,-
J0008,game,4,16741211,12753542,7452148,10294017;10294017,14677028,,13161353,13517816,13132283
J0009,game,3,16101353,12753542,16084070,11541857;11541857,14677028,,13161353,16144583,13132283
J0010,video,adobe premier pro,15594446,14804777,16100000,11541857;11541857,12487214,,13161353,12572216,14110475
J0011,graphics,cinema 4D,16140809,16310552,16100000,11541857;11541857,12487301,,13161353,13658789,16777664
J0012,video,movavi,16741211,14480888,11574341,11380467,12487214,,13161353,12996494,14110475
J0013,video,vegas pro,12836186,14719643,11578097,11380467,9782097,,13161353,12996494,17407124
J0014,graphics,zBrush,15594638,14719643,15693545,15759071;15759071,12487214,,13161338,11884168,9338742
J0015,game,5,15594887,14942981,15617057,15759071;15759071,17441513,,13161338,16121369,10467333
J0016,graphics,cinema 4D,16872089,14967383,11574341,11431059,5282204,,13161338,17661149,10467333
J0017,broadcast,default,16872089,14942981,11574341,11431059,5282204,,13161338,11555084,10467333
J0018,graphics,houdini,16872089,14967383,11574341,11380467,12487301,,13161338,17661149,10467333
J0019,broadcast,default,16872089,14942981,11574341,11380467,12487301,,13161338,11555084,10467333
J0020,graphics,lumion,16872089,14967383,11574341,11431059,12487301,,13161338,11555084,17057594
J0021,broadcast,default,16872089,14942981,11574341,11380467,5282204,,13161338,17661149,17057594
J0022,game,2,16101179,-,16083650,11541857;11541857,14677028,,13161353,10289943,-
J0023,game,2,16101179,-,16314473,11541857;11541857,14677028,,13161353,15738686,-
J0024,game,2,16101179,-,16134524,11541857;11541857,14677028,,13562693,12212474,-
J0025,game,2,16101179,-,16134524,11541857;11541857,14677028,,13190519,10423167,-
J0026,game,2,16101353,-,16083650,11541857;11541857,14677028,,13161353,10423167,14110475
J0027,game,2,16101353,-,16084070,11541857;11541857,14677028,,13161353,10423167,13132283
J0028,game,2,16101353,-,16084070,11541857;11541857,14677028,,13161353,14705840,13132283
J0029,game,2,12625265,-,11574458,11541857;11541857,14677028,,13161353,13517816,14110475
J0030,game,2,12625265,-,11574458,11541857;11541857,14677028,,13161353,13167008,14110475
J0031,graphics,cad,16101353,-,16084070,11541857;11541857,14677028,,13161353,16144583,14110475
J0032,graphics,cad,16101353,-,16262660,11541857;11541857,14677028,,13161353,14705840,14110475
J0033,graphics,cad,16101353,-,16084070,11541857;11541857,14677028,,13161353,14705840,14110475
J0034,graphics,cad,16101353,-,16084070,11541857;11541857,14677028,,13161353,11884168,14110475
J0035,game,3,16101353,16291658,16084070,11541857;11541857,14677028,,13161353,14705840,14110475
J0036,game,3,12625265,16234694,11574458,11541857;11541857,14677028,,13161353,14705840,14110475
J0037,design,adobe illustrator,12625265,16406153,11578097,11541857;11541857,14677028,,13562714,10423167,14110475
J0038,game,3,16101353,16291658,16094537,11541857;11541857,14677028,,13161353,14705840,14110475
J0039,game,3,16101353,13463144,16084070,11541857;11541857,14677028,,13161353,14705840,14110475
J0040,game,3,12625265,13463144,11574458,11541857;11541857,14677028,,13161353,14705840,14110475
J0041,game,3,16101353,13463144,16084070,11541857;11541857,14677028,,13161353,16144583,14110475
J0042,game,3,16101353,13463144,16084070,11541857;11541857,14677028,,13161353,16437518,14110475
J0043,game,3,16101353,13470908,16084070,11541857;11541857,14677028,,13562714,10423167,14110475
J0044,game,4,16101353,12822224,16084070,11541857;11541857,14677028,,13161353,10423167,14110475
J0045,game,4,12625265,12822224,11574458,11541857;11541857,14677028,,13562714,10423167,14110475
J0046,game,4,16101353,12822224,16084070,11541857;11541857,14677028,,13161353,11884168,14110475
J0047,game,3,16101353,13463144,16099562,11541857;11541857,14677028,,13562714,10423167,14110475
J0048,game,4,16101353,14776451,16262660,11541857;11541857,14677028,,13161353,10423167,14110475
J0049,game,4,16101353,14776451,16089002,11541857;11541857,14677028,,13562714,10423167,14110475
J0050,video,vegas pro,12625265,14741900,11578097,11541857;11541857,13934357,,13562714,14705840,14110475
J0051,video,adobe aftereffect,12625265,14741900,11578097,11541857;11541857,13934357,,13562714,16900727,14110475
J0052,graphics,houdini,16741349,17571923,12617759,10294092;10294092,10506042,,13161338,16298132,16353224
J0053,graphics,sketchUp,16741349,17571923,11574458,10294092;10294092,10506042,,14905265,16298132,16525058
J0054,video,adobe aftereffect,12837425,16155854,13191455,11028636;11028636,10506042,6288809,14803520,12572216,17450348
J0055,design,adobe indesign,12837425,14967074,15755711,10294092;10294092,16079105,6288809,13161353,16298132,17450348
J0056,game,5,12625265,16528460,13191455,13723196,10506042,,13161338,12572216,16209023
J0057,work,default,14927675,-,12067598,11541857;11541857,16566995,,5781894,13381619,-